type,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,SoH_Percentage,driving_style
-1,4,47,0,1,00001.csv,0.9836894380416044,0.0545429502985307,0.1831297016940335,76.13550101969855,Smooth
0,24,47,1,2,00002.csv,0.9836894380416044,0.0545429502985307,0.1831297016940335,76.13550101969855,Smooth
1,4,47,2,3,00003.csv,0.9836894380416044,0.0545429502985307,0.1831297016940335,76.13550101969855,Smooth
0,24,47,3,4,00004.csv,0.9836894380416044,0.0518254183682199,0.1524927340360739,76.13550101969855,Smooth
-1,4,47,4,5,00005.csv,0.9259900254814578,0.0518254183682199,0.1524927340360739,71.66968740625275,Smooth
1,4,47,5,6,00006.csv,0.9259900254814578,0.0518254183682199,0.1524927340360739,71.66968740625275,Smooth
-1,4,47,6,7,00007.csv,0.9195160437582474,0.0518254183682199,0.1524927340360739,71.16861478818105,Smooth
1,4,47,7,8,00008.csv,0.9195160437582474,0.0518254183682199,0.1524927340360739,71.16861478818105,Smooth
-1,4,47,8,9,00009.csv,0.9096921272923733,0.0518254183682199,0.1524927340360739,70.40826424137222,Smooth
1,4,47,9,10,00010.csv,0.9096921272923733,0.0518254183682199,0.1524927340360739,70.40826424137222,Smooth
-1,4,47,10,11,00011.csv,0.9030592472308504,0.0518254183682199,0.1524927340360739,69.894893224913,Smooth
1,4,47,11,12,00012.csv,0.9030592472308504,0.0518254183682199,0.1524927340360739,69.894893224913,Smooth
-1,4,47,12,13,00013.csv,0.8956218575430903,0.0518254183682199,0.1524927340360739,69.31925484936667,Smooth
0,24,47,13,14,00014.csv,0.8956218575430903,0.0579272601562287,0.190949828169533,69.31925484936667,Smooth
1,4,47,14,15,00015.csv,0.8956218575430903,0.0579272601562287,0.190949828169533,69.31925484936667,Smooth
0,24,47,15,16,00016.csv,0.8956218575430903,0.053659294136808,0.1616835571243591,69.31925484936667,Smooth
-1,4,47,16,17,00017.csv,0.8943941082799586,0.053659294136808,0.1616835571243591,69.22422962935293,Smooth
0,24,47,17,18,00018.csv,0.8943941082799586,0.0572103152881315,0.1747570772581143,69.22422962935293,Smooth
1,4,47,18,19,00019.csv,0.8943941082799586,0.0572103152881315,0.1747570772581143,69.22422962935293,Smooth
0,24,47,19,20,00020.csv,0.8943941082799586,0.0514654600843663,0.1589262784889648,69.22422962935293,Smooth
-1,4,47,20,21,00021.csv,0.8883513433395804,0.0514654600843663,0.1589262784889648,68.756532286586,Smooth
1,4,47,21,22,00022.csv,0.8883513433395804,0.0514654600843663,0.1589262784889648,68.756532286586,Smooth
-1,4,47,22,23,00023.csv,0.8834677231857654,0.0514654600843663,0.1589262784889648,68.37855032111847,Smooth
1,4,47,23,24,00024.csv,0.8834677231857654,0.0514654600843663,0.1589262784889648,68.37855032111847,Smooth
-1,4,47,24,25,00025.csv,0.8754676632620011,0.0514654600843663,0.1589262784889648,67.75936244847442,Smooth
1,4,47,25,26,00026.csv,0.8754676632620011,0.0514654600843663,0.1589262784889648,67.75936244847442,Smooth
-1,4,47,26,27,00027.csv,0.8706721138479007,0.0514654600843663,0.1589262784889648,67.38819697369394,Smooth
1,4,47,27,28,00028.csv,0.8706721138479007,0.0514654600843663,0.1589262784889648,67.38819697369394,Smooth
-1,4,47,28,29,00029.csv,0.8608725066779153,0.0514654600843663,0.1589262784889648,66.62972791544274,Smooth
0,24,47,29,30,00030.csv,0.8608725066779153,0.0559233297011724,0.179287274592955,66.62972791544274,Smooth
1,4,47,30,31,00031.csv,0.8608725066779153,0.0559233297011724,0.179287274592955,66.62972791544274,Smooth
0,24,47,31,32,00032.csv,0.8608725066779153,0.0521504596129095,0.1635695850412598,66.62972791544274,Smooth
-1,4,47,32,33,00033.csv,0.8779839994687824,0.0521504596129095,0.1635695850412598,67.95412159747852,Smooth
0,24,47,33,34,00034.csv,0.8779839994687824,0.0601832363593042,0.1830695210741727,67.95412159747852,Smooth
1,4,47,34,35,00035.csv,0.8779839994687824,0.0601832363593042,0.1830695210741727,67.95412159747852,Smooth
0,24,47,35,36,00036.csv,0.8779839994687824,0.0569330197507364,0.1690286629233267,67.95412159747852,Smooth
-1,4,47,36,37,00037.csv,0.8778634350055854,0.0569330197507364,0.1690286629233267,67.94479016068993,Smooth
1,4,47,37,38,00038.csv,0.8778634350055854,0.0569330197507364,0.1690286629233267,67.94479016068993,Smooth
-1,4,47,38,39,00039.csv,0.8699394322878393,0.0569330197507364,0.1690286629233267,67.33148895640117,Smooth
1,4,47,39,40,00040.csv,0.8699394322878393,0.0569330197507364,0.1690286629233267,67.33148895640117,Smooth
-1,4,47,40,41,00041.csv,0.8631031417637836,0.0569330197507364,0.1690286629233267,66.80237439642235,Smooth
1,4,47,41,42,00042.csv,0.8631031417637836,0.0569330197507364,0.1690286629233267,66.80237439642235,Smooth
-1,4,47,42,43,00043.csv,0.8543060079180025,0.0569330197507364,0.1690286629233267,66.12149467261509,Smooth
1,4,47,43,44,00044.csv,0.8543060079180025,0.0569330197507364,0.1690286629233267,66.12149467261509,Smooth
-1,4,47,44,45,00045.csv,0.8437859881738657,0.0569330197507364,0.1690286629233267,65.30726719086887,Smooth
0,24,47,45,46,00046.csv,0.8437859881738657,0.0605403972616654,0.1942445554992025,65.30726719086887,Smooth
1,4,47,46,47,00047.csv,0.8437859881738657,0.0605403972616654,0.1942445554992025,65.30726719086887,Smooth
0,24,47,47,48,00048.csv,0.8437859881738657,0.0564648672883848,0.1711676695692041,65.30726719086887,Smooth
-1,4,47,48,49,00049.csv,0.8377644415426664,0.0564648672883848,0.1711676695692041,64.84121210076587,Smooth
1,4,47,49,50,00050.csv,0.8377644415426664,0.0564648672883848,0.1711676695692041,64.84121210076587,Smooth
-1,4,47,50,51,00051.csv,0.0,0.0564648672883848,0.1711676695692041,0.0,Smooth
1,4,47,51,52,00052.csv,0.0,0.0564648672883848,0.1711676695692041,0.0,Smooth
-1,4,47,52,53,00053.csv,0.8499045061010395,0.0564648672883848,0.1711676695692041,65.78082765606081,Smooth
1,4,47,53,54,00054.csv,0.8499045061010395,0.0564648672883848,0.1711676695692041,65.78082765606081,Smooth
-1,4,47,54,55,00055.csv,0.8263291371258308,0.0564648672883848,0.1711676695692041,63.95614350348393,Smooth
1,4,47,55,56,00056.csv,0.8263291371258308,0.0564648672883848,0.1711676695692041,63.95614350348393,Smooth
-1,4,47,56,57,00057.csv,0.8249291760871977,0.0564648672883848,0.1711676695692041,63.84778945294478,Smooth
